# BOBMOE0 stage=1 arm=moe deterministic metrics log
# arm_seed=28271 perm_seed=28371 param_total=17118720
step	lr	ce	aux	loss	gradnorm
127	2.96975991598246759e-03	2.13406848907470703e+00	1.17008471488952637e+00	2.14576935768127441e+00	7.21862018108367920e-01
128	2.96748762861730924e-03	2.11698389053344727e+00	1.16750836372375488e+00	2.12865900993347168e+00	6.71259403228759766e-01
129	2.96513407240929679e-03	2.10560536384582520e+00	1.18059468269348145e+00	2.11741137504577637e+00	7.65561580657958984e-01
130	2.96269939253686332e-03	2.11265373229980469e+00	1.19716966152191162e+00	2.12462544441223145e+00	7.12216675281524658e-01
131	2.96018373918253237e-03	2.11578106880187988e+00	1.15331339836120605e+00	2.12731409072875977e+00	6.74192428588867188e-01
132	2.95758726752365234e-03	2.08759164810180664e+00	1.15659403800964355e+00	2.09915757179260254e+00	7.25559294223785400e-01
133	2.95491013772282473e-03	2.18131542205810547e+00	1.15708637237548828e+00	2.19288635253906250e+00	8.39682936668395996e-01
134	2.95215251491802748e-03	2.04273319244384766e+00	1.17737030982971191e+00	2.05450677871704102e+00	7.83775806427001953e-01
135	2.94931456921242391e-03	2.03168773651123047e+00	1.16188752651214600e+00	2.04330658912658691e+00	6.63996458053588867e-01
136	2.94639647566387287e-03	2.06849145889282227e+00	1.15487742424011230e+00	2.08004021644592285e+00	7.72513866424560547e-01
137	2.94339841427413091e-03	2.09988689422607422e+00	1.17263031005859375e+00	2.11161327362060547e+00	6.40174508094787598e-01
138	2.94032056997774530e-03	2.06329560279846191e+00	1.15642142295837402e+00	2.07485985755920410e+00	6.44995868206024170e-01
139	2.93716313263065170e-03	2.09411811828613281e+00	1.18535447120666504e+00	2.10597157478332520e+00	8.47870171070098877e-01
140	2.93392629699845741e-03	2.09895920753479004e+00	1.18496930599212646e+00	2.11080884933471680e+00	5.75442969799041748e-01
141	2.93061026274443097e-03	2.07344102859497070e+00	1.16280496120452881e+00	2.08506917953491211e+00	7.25082695484161377e-01
142	2.92721523441718612e-03	2.13190317153930664e+00	1.14249837398529053e+00	2.14332818984985352e+00	6.45660221576690674e-01
143	2.92374142143806120e-03	2.02036833763122559e+00	1.13420796394348145e+00	2.03171038627624512e+00	7.26809740066528320e-01
144	2.92018903808820458e-03	2.11777305603027344e+00	1.13161826133728027e+00	2.12908935546875000e+00	6.48190259933471680e-01
145	2.91655830349535393e-03	2.24157977104187012e+00	1.10817003250122070e+00	2.25266146659851074e+00	6.84097468852996826e-01
146	2.91284944162032138e-03	2.03301215171813965e+00	1.12067782878875732e+00	2.04421901702880859e+00	6.50185406208038330e-01
147	2.90906268124317691e-03	1.97877776622772217e+00	1.10223996639251709e+00	1.98980021476745605e+00	6.74144685268402100e-01
148	2.90519825594913938e-03	2.00087761878967285e+00	1.12439858913421631e+00	2.01212167739868164e+00	6.11474096775054932e-01
149	2.90125640411416277e-03	2.11055207252502441e+00	1.10584259033203125e+00	2.12161040306091309e+00	5.45262634754180908e-01
150	2.89723736889023736e-03	2.00546860694885254e+00	1.13444018363952637e+00	2.01681303977966309e+00	6.15972816944122314e-01
151	2.89314139819038573e-03	2.08042430877685547e+00	1.14838194847106934e+00	2.09190821647644043e+00	5.66027641296386719e-01
152	2.88896874467337462e-03	2.01472258567810059e+00	1.15233445167541504e+00	2.02624583244323730e+00	7.40249097347259521e-01
153	2.88471966572812844e-03	2.11230206489562988e+00	1.18667066097259521e+00	2.12416887283325195e+00	7.18629181385040283e-01
154	2.88039442345785135e-03	2.02240920066833496e+00	1.13918375968933105e+00	2.03380107879638672e+00	6.52449369430541992e-01
155	2.87599328466386006e-03	2.03323316574096680e+00	1.12592434883117676e+00	2.04449248313903809e+00	7.26175248622894287e-01
156	2.87151652082912653e-03	1.95549786090850830e+00	1.11093688011169434e+00	1.96660721302032471e+00	6.51252448558807373e-01
157	2.86696440810153179e-03	2.01711606979370117e+00	1.12883400917053223e+00	2.02840447425842285e+00	7.57534980773925781e-01
158	2.86233722727683099e-03	2.01247525215148926e+00	1.15765666961669922e+00	2.02405190467834473e+00	1.03120827674865723e+00
