# BOBMOE0 G3 expert-FFN trit census, MoE run A step 500
# absmean law: bobmoe0.weight_trits, prereg s.1
# pick rule frozen: rank 60 of 120, H0 ascending, ties by bytewise name
rank,name,shape,n_trits,c_neg,c_zero,c_pos,H0_bits_per_trit
110,blocks.2.ffn.experts.6.up.weight,512x256,131072,44746,41752,44574,1.58424510813103314e+00
111,blocks.4.ffn.experts.0.gate.weight,512x256,131072,44742,41811,44519,1.58428691683645217e+00
112,blocks.2.ffn.experts.6.down.weight,256x512,131072,44879,41912,44281,1.58433848570350522e+00
113,blocks.3.ffn.experts.1.up.weight,512x256,131072,44559,41881,44632,1.58433898743654344e+00
114,blocks.4.ffn.experts.1.gate.weight,512x256,131072,44599,41907,44566,1.58435709076148168e+00
115,blocks.0.ffn.experts.3.gate.weight,512x256,131072,44777,41932,44363,1.58436348542584104e+00
116,blocks.4.ffn.experts.5.gate.weight,512x256,131072,44547,41937,44588,1.58437731647251523e+00
117,blocks.0.ffn.experts.3.down.weight,256x512,131072,44719,41963,44390,1.58438801486654590e+00
118,blocks.4.ffn.experts.1.up.weight,512x256,131072,44545,41958,44569,1.58439136160666649e+00
119,blocks.4.ffn.experts.5.down.weight,256x512,131072,44304,42119,44649,1.58448553983916685e+00
120,blocks.4.ffn.experts.5.up.weight,512x256,131072,44441,42248,44383,1.58456682317496567e+00
