# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
7,4,6,301677,6.03392617127496145e-02
7,4,7,153901,3.07821700588837670e-02
7,5,6,141044,2.82106054787506395e-02
7,5,7,108049,2.16111831157194054e-02
7,6,7,241138,4.82306867639528958e-02
8,0,1,364295,7.28636632744495694e-02
8,0,2,101070,2.02152937788018447e-02
8,0,3,283884,5.67804339477726572e-02
8,0,4,68852,1.37712813620071688e-02
8,0,5,220831,4.41690268177163323e-02
8,0,6,165914,3.31849238351254461e-02
8,0,7,138299,2.76615703405017933e-02
8,1,2,104643,2.09299395161290334e-02
8,1,3,47018,9.40420186891961080e-03
8,1,4,77770,1.55549955197132623e-02
8,1,5,114446,2.28906650025601649e-02
8,1,6,164054,3.28129000256016379e-02
8,1,7,191157,3.82338469662058394e-02
8,2,3,176573,3.53168602790578587e-02
8,2,4,187635,3.75294018817204297e-02
8,2,5,130618,2.61252720174091138e-02
8,2,6,269689,5.39412522401433725e-02
8,2,7,158154,3.16328245007680489e-02
8,3,4,156271,3.12562003968253968e-02
8,3,5,244249,4.88529265873015872e-02
8,3,6,245122,4.90275377624167924e-02
8,3,7,204174,4.08374135944700456e-02
8,4,5,242990,4.86011104710701511e-02
8,4,6,263552,5.27137736815156202e-02
8,4,7,98972,1.97956669226830514e-02
8,5,6,176828,3.53678635432667712e-02
8,5,7,197931,3.95887336789554553e-02
8,6,7,204689,4.09404201868919584e-02
9,0,1,122271,2.44557651689708139e-02
9,0,2,216124,4.32275665642601128e-02
9,0,3,124739,2.49493967613927288e-02
9,0,4,149891,2.99801187275985648e-02
9,0,5,171790,3.43601990527393764e-02
9,0,6,225829,4.51686907962109557e-02
9,0,7,113886,2.27786578341013825e-02
9,1,2,103849,2.07711293522785459e-02
9,1,3,132169,2.64354918714797757e-02
9,1,4,111495,2.23004272273425487e-02
9,1,5,98940,1.97892665130568364e-02
9,1,6,452189,9.04435883896569370e-02
9,1,7,157988,3.15996223758320538e-02
9,2,3,74852,1.49713581669226829e-02
9,2,4,221264,4.42556323604710727e-02
9,2,5,173415,3.46852198540706577e-02
9,2,6,120999,2.42013488863287267e-02
9,2,7,209249,4.18524785586277537e-02
9,3,4,143263,2.86544338837685618e-02
9,3,5,137015,2.74047539042498733e-02
9,3,6,200841,4.01707709293394749e-02
9,3,7,321135,6.42311107910906315e-02
9,4,5,74941,1.49891593061955968e-02
9,4,6,127104,2.54224270353302605e-02
