arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
moe,11000,class,attn.wo,3145728,1042180,1061075,1042473,0.331300100,0.337306658,0.331393242,1.584911
moe,11000,class,attn.wq,3145728,1015723,1115354,1014651,0.322889646,0.354561488,0.322548866,1.583514
moe,11000,class,attn.wv,3145728,1050457,1044123,1051148,0.333931287,0.331917763,0.334150950,1.584956
moe,11000,class,ffn.down,50331648,16884144,16558738,16888766,0.335457802,0.328992565,0.335549633,1.584901
moe,11000,class,ffn.gate,50331648,16652492,16830570,16848586,0.330855290,0.334393382,0.334751328,1.584942
moe,11000,class,ffn.up,50331648,16798432,16738690,16794526,0.333754857,0.332567890,0.333677252,1.584961
moe,11000,pooled,ALL,163577856,54460499,54460017,54657340,0.332933200,0.332930253,0.334136547,1.584960
moe,12000,class,attn.wk,3145728,1016132,1112311,1017285,0.323019663,0.353594144,0.323386192,1.583643
moe,12000,class,attn.wo,3145728,1041844,1061323,1042561,0.331193288,0.337385496,0.331421216,1.584909
moe,12000,class,attn.wq,3145728,1015157,1116025,1014546,0.322709719,0.354774793,0.322515488,1.583485
moe,12000,class,attn.wv,3145728,1050167,1044426,1051135,0.333839099,0.332014084,0.334146818,1.584957
moe,12000,class,ffn.down,50331648,16878272,16572940,16880436,0.335341136,0.329274734,0.335384130,1.584909
moe,12000,class,ffn.gate,50331648,16646610,16844129,16840909,0.330738425,0.334662775,0.334598800,1.584941
moe,12000,class,ffn.up,50331648,16795916,16745735,16789997,0.333704869,0.332707862,0.333587269,1.584961
moe,12000,pooled,ALL,163577856,54444098,54496889,54636869,0.332832936,0.333155663,0.334011402,1.584961
moe,13000,class,attn.wk,3145728,1016204,1112509,1017015,0.323042552,0.353657087,0.323300362,1.583635
moe,13000,class,attn.wo,3145728,1041125,1061852,1042751,0.330964724,0.337553660,0.331481616,1.584905
moe,13000,class,attn.wq,3145728,1015811,1116244,1013673,0.322917620,0.354844411,0.322237968,1.583475
moe,13000,class,attn.wv,3145728,1049770,1045155,1050803,0.333712896,0.332245827,0.334041278,1.584959
moe,13000,class,ffn.down,50331648,16875552,16576885,16879211,0.335287094,0.329353114,0.335359792,1.584911
moe,13000,class,ffn.gate,50331648,16645099,16850235,16836314,0.330708404,0.334784091,0.334507505,1.584940
moe,13000,class,ffn.up,50331648,16796255,16744941,16790452,0.333711604,0.332692087,0.333596309,1.584961
moe,13000,pooled,ALL,163577856,54439816,54507821,54630219,0.332806758,0.333222493,0.333970748,1.584961
moe,14000,class,attn.wk,3145728,1016616,1111964,1017148,0.323173523,0.353483836,0.323342641,1.583657
moe,14000,class,attn.wo,3145728,1041338,1062133,1042257,0.331032435,0.337642988,0.331324577,1.584902
moe,14000,class,attn.wq,3145728,1016394,1114927,1014407,0.323102951,0.354425748,0.322471301,1.583532
moe,14000,class,attn.wv,3145728,1049801,1045001,1050926,0.333722750,0.332196871,0.334080378,1.584958
moe,14000,class,ffn.down,50331648,16874216,16579488,16877944,0.335260550,0.329404831,0.335334619,1.584912
moe,14000,class,ffn.gate,50331648,16644805,16848752,16838091,0.330702563,0.334754626,0.334542811,1.584940
moe,14000,class,ffn.up,50331648,16799022,16740838,16791788,0.333766580,0.332610567,0.333622853,1.584961
moe,14000,pooled,ALL,163577856,54442192,54503103,54632561,0.332821284,0.333193651,0.333985066,1.584961
moe,15000,class,attn.wk,3145728,1017295,1110724,1017709,0.323389371,0.353089650,0.323520978,1.583707
moe,15000,class,attn.wo,3145728,1041460,1061741,1042527,0.331071218,0.337518374,0.331410408,1.584906
moe,15000,class,attn.wq,3145728,1015909,1114909,1014910,0.322948774,0.354420026,0.322631200,1.583534
moe,15000,class,attn.wv,3145728,1049412,1045161,1051155,0.333599091,0.332247734,0.334153175,1.584958
moe,15000,class,ffn.down,50331648,16873939,16580508,16877201,0.335255047,0.329425097,0.335319857,1.584913
moe,15000,class,ffn.gate,50331648,16649674,16841425,16840549,0.330799301,0.334609052,0.334591647,1.584942
moe,15000,class,ffn.up,50331648,16804214,16728486,16798948,0.333869735,0.332365155,0.333765109,1.584959
moe,15000,pooled,ALL,163577856,54451903,54482954,54642999,0.332880650,0.333070474,0.334048876,1.584961
moe,15259,class,attn.wk,3145728,1017737,1110290,1017701,0.323529879,0.352951686,0.323518435,1.583725
moe,15259,class,attn.wo,3145728,1040717,1062338,1042673,0.330835025,0.337708155,0.331456820,1.584900
moe,15259,class,attn.wq,3145728,1016179,1114465,1015084,0.323034604,0.354278882,0.322686513,1.583552
moe,15259,class,attn.wv,3145728,1048932,1046079,1050717,0.333446503,0.332539558,0.334013939,1.584960
moe,15259,class,ffn.down,50331648,16874159,16579612,16877877,0.335259418,0.329407295,0.335333288,1.584912
moe,15259,class,ffn.gate,50331648,16650542,16840805,16840301,0.330816547,0.334596733,0.334586720,1.584942
moe,15259,class,ffn.up,50331648,16804170,16728970,16798508,0.333868861,0.332374771,0.333756367,1.584960
moe,15259,pooled,ALL,163577856,54452436,54482559,54642861,0.332883908,0.333068059,0.334048033,1.584961
