# BOBMOE0 stage=1 arm=dense deterministic metrics log
# arm_seed=28272 perm_seed=28372 param_total=5312000
step	lr	ce	aux	loss	gradnorm
83	2.49000000000000003e-03	2.36238360404968262e+00	0.00000000000000000e+00	2.36238360404968262e+00	2.26001644134521484e+00
84	2.52000000000000010e-03	2.46644020080566406e+00	0.00000000000000000e+00	2.46644020080566406e+00	1.00072789192199707e+00
85	2.55000000000000018e-03	2.32707262039184570e+00	0.00000000000000000e+00	2.32707262039184570e+00	9.58700478076934814e-01
86	2.58000000000000026e-03	2.31529855728149414e+00	0.00000000000000000e+00	2.31529855728149414e+00	1.12344920635223389e+00
87	2.60999999999999991e-03	2.30924057960510254e+00	0.00000000000000000e+00	2.30924057960510254e+00	1.49602949619293213e+00
88	2.63999999999999999e-03	2.35323214530944824e+00	0.00000000000000000e+00	2.35323214530944824e+00	1.23661470413208008e+00
89	2.67000000000000006e-03	2.36947059631347656e+00	0.00000000000000000e+00	2.36947059631347656e+00	1.07679045200347900e+00
90	2.70000000000000014e-03	2.38856625556945801e+00	0.00000000000000000e+00	2.38856625556945801e+00	8.95773828029632568e-01
91	2.73000000000000022e-03	2.22819614410400391e+00	0.00000000000000000e+00	2.22819614410400391e+00	1.05888628959655762e+00
92	2.76000000000000030e-03	2.23715496063232422e+00	0.00000000000000000e+00	2.23715496063232422e+00	1.32794916629791260e+00
93	2.79000000000000038e-03	2.26189446449279785e+00	0.00000000000000000e+00	2.26189446449279785e+00	1.30570304393768311e+00
94	2.82000000000000046e-03	2.19376969337463379e+00	0.00000000000000000e+00	2.19376969337463379e+00	1.08610403537750244e+00
95	2.85000000000000010e-03	2.37019801139831543e+00	0.00000000000000000e+00	2.37019801139831543e+00	1.25980305671691895e+00
96	2.88000000000000018e-03	2.31923961639404297e+00	0.00000000000000000e+00	2.31923961639404297e+00	9.16973114013671875e-01
97	2.90999999999999983e-03	2.32706785202026367e+00	0.00000000000000000e+00	2.32706785202026367e+00	8.86061728000640869e-01
98	2.93999999999999991e-03	2.32179903984069824e+00	0.00000000000000000e+00	2.32179903984069824e+00	1.33792233467102051e+00
99	2.96999999999999998e-03	2.23693490028381348e+00	0.00000000000000000e+00	2.23693490028381348e+00	7.37971544265747070e-01
100	3.00000000000000006e-03	2.28741097450256348e+00	0.00000000000000000e+00	2.28741097450256348e+00	1.43565952777862549e+00
101	2.99995836282046600e-03	2.20227360725402832e+00	0.00000000000000000e+00	2.20227360725402832e+00	1.36672306060791016e+00
102	2.99983345385024160e-03	2.25498390197753906e+00	0.00000000000000000e+00	2.25498390197753906e+00	8.76511991024017334e-01
103	2.99962528079430069e-03	2.17258262634277344e+00	0.00000000000000000e+00	2.17258262634277344e+00	1.21664619445800781e+00
104	2.99933385649373777e-03	2.27282333374023438e+00	0.00000000000000000e+00	2.27282333374023438e+00	1.92246556282043457e+00
105	2.99895919892497614e-03	2.17989850044250488e+00	0.00000000000000000e+00	2.17989850044250488e+00	1.03814315795898438e+00
106	2.99850133119865985e-03	2.32104325294494629e+00	0.00000000000000000e+00	2.32104325294494629e+00	1.14559268951416016e+00
107	2.99796028155822642e-03	2.26131510734558105e+00	0.00000000000000000e+00	2.26131510734558105e+00	1.01024782657623291e+00
108	2.99733608337816697e-03	2.16314005851745605e+00	0.00000000000000000e+00	2.16314005851745605e+00	8.60094606876373291e-01
109	2.99662877516196444e-03	2.22323274612426758e+00	0.00000000000000000e+00	2.22323274612426758e+00	1.08609449863433838e+00
110	2.99583840053972272e-03	2.15941262245178223e+00	0.00000000000000000e+00	2.15941262245178223e+00	1.04850041866302490e+00
111	2.99496500826547081e-03	2.16227126121520996e+00	0.00000000000000000e+00	2.16227126121520996e+00	8.23724865913391113e-01
112	2.99400865221415837e-03	2.20301699638366699e+00	0.00000000000000000e+00	2.20301699638366699e+00	9.85568821430206299e-01
113	2.99296939137833106e-03	2.15803837776184082e+00	0.00000000000000000e+00	2.15803837776184082e+00	8.65110278129577637e-01
114	2.99184728986449282e-03	2.17488789558410645e+00	0.00000000000000000e+00	2.17488789558410645e+00	8.74014258384704590e-01
115	2.99064241688915076e-03	2.12844324111938477e+00	0.00000000000000000e+00	2.12844324111938477e+00	1.00547719001770020e+00
116	2.98935484677454507e-03	2.17737865447998047e+00	0.00000000000000000e+00	2.17737865447998047e+00	1.02599596977233887e+00
117	2.98798465894406593e-03	2.06757760047912598e+00	0.00000000000000000e+00	2.06757760047912598e+00	7.54683732986450195e-01
118	2.98653193791735246e-03	2.10605382919311523e+00	0.00000000000000000e+00	2.10605382919311523e+00	1.20076739788055420e+00
119	2.98499677330508160e-03	2.20556759834289551e+00	0.00000000000000000e+00	2.20556759834289551e+00	8.63550782203674316e-01
120	2.98337925980343612e-03	2.02823877334594727e+00	0.00000000000000000e+00	2.02823877334594727e+00	1.13773906230926514e+00
121	2.98167949718826895e-03	2.20174241065979004e+00	0.00000000000000000e+00	2.20174241065979004e+00	1.16898012161254883e+00
122	2.97989759030894497e-03	2.13525748252868652e+00	0.00000000000000000e+00	2.13525748252868652e+00	1.60346198081970215e+00
123	2.97803364908187347e-03	2.09079337120056152e+00	0.00000000000000000e+00	2.09079337120056152e+00	1.13024759292602539e+00
124	2.97608778848372979e-03	2.13862323760986328e+00	0.00000000000000000e+00	2.13862323760986328e+00	9.43401753902435303e-01
125	2.97406012854436108e-03	2.20386528968811035e+00	0.00000000000000000e+00	2.20386528968811035e+00	8.25920760631561279e-01
126	2.97195079433938388e-03	2.07423090934753418e+00	0.00000000000000000e+00	2.07423090934753418e+00	8.24535608291625977e-01
127	2.96975991598246759e-03	2.12491321563720703e+00	0.00000000000000000e+00	2.12491321563720703e+00	8.10885310173034668e-01
128	2.96748762861730924e-03	2.15760087966918945e+00	0.00000000000000000e+00	2.15760087966918945e+00	7.15813577175140381e-01
129	2.96513407240929679e-03	2.17845988273620605e+00	0.00000000000000000e+00	2.17845988273620605e+00	7.58919656276702881e-01
130	2.96269939253686332e-03	2.09022045135498047e+00	0.00000000000000000e+00	2.09022045135498047e+00	8.14328968524932861e-01
